district_code,no,pref_name,city_name,facility_name,facility_kana,type,address,facility_other_name,lat,lng,access,parking,tel,tel_ext,fax,crop_no,organization,licensed_date,capacity,min_age,day_of_week,available_from,available_from,available_day_info,temporary,url,remark
270008,,大阪府,大阪市,聖美幼稚園,セイビヨウチエン,,大阪府大阪市東成区大今里南2-13-22,,34.665222,135.547211,,,06-6981-8438,,,,栗岡学園,,,,,,,,,,
270008,,大阪府,大阪市,熊野幼稚園,クマノヨウチエン,,大阪府大阪市東成区大今里4-16-23,,34.668655,135.549347,,,06-6971-0381,,,,白江学園,,,,,,,,,,
270008,,大阪府,大阪市,白菊幼稚園,シラギクヨウチエン,,大阪府大阪市生野区巽北2-5-24,,34.653511,135.54982,,,06-6752-4515,,,,西田学園,,,,,,,,,,
270008,,大阪府,大阪市,中川幼稚園,ナカガワヨウチエン,,大阪府大阪市生野区中川3-7-18,,34.658619,135.54567,,,06-6751-6660,,,,川久保学園,,,,,,,,,,
270008,,大阪府,大阪市,新森幼稚園,シンモリヨウチエン,,大阪府大阪市旭区新森3-3-35,,34.719639,135.552399,,,06-6954-5344,,,,大阪聖心学院,,,,,,,,,,
270008,,大阪府,大阪市,大宮幼稚園,オオミヤヨウチエン,,大阪府大阪市旭区中宮3-15-10,,34.726231,135.543991,,,06-6951-6041,,,,大宮学園,,,,,,,,,,
270008,,大阪府,大阪市,東高殿幼稚園,ヒガシタカドノヨウチエン,,大阪府大阪市旭区高殿6-6-17,,34.717072,135.545517,,,06-6951-7321,,,,東高殿幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,赤川幼稚園,アカガワヨウチエン,,大阪府大阪市旭区赤川4-22-31,,34.728092,135.53035,,,06-6921-0004,,,,田土学園,,,,,,,,,,
270008,,大阪府,大阪市,西高殿若葉幼稚園,ニシタカドノワカバヨウチエン,,大阪府大阪市旭区高殿4-6-12,,34.714863,135.542007,,,06-6951-5205,,,,岡部学園,,,,,,,,,,
270008,,大阪府,大阪市,千寿幼稚園,センジユヨウチエン,,大阪府大阪市旭区清水3-3-16,,34.724117,135.556824,,,06-6951-1729,,,,林学園,,,,,,,,,,
270008,,大阪府,大阪市,大阪信愛学院幼稚園,オオサカシンアイガクインヨウチエン,,大阪府大阪市城東区古市2-7-30,,34.711761,135.559464,,,06-6939-4391,,,,大阪信愛女学院,,,,,,,,,,
270008,,大阪府,大阪市,野江幼稚園,ノエヨウチエン,,大阪府大阪市城東区成育3-4-20,,34.707859,135.541885,,,06-6933-0071,,,,黒崎学園,,,,,,,,,,
270008,,大阪府,大阪市,中浜幼稚園,ナカハマヨウチエン,,大阪府大阪市城東区中浜2-11-41,,34.684612,135.542969,,,06-6962-0995,,,,白江学園,,,,,,,,,,
270008,,大阪府,大阪市,蒲生幼稚園,ガモウヨウチエン,,大阪府大阪市城東区蒲生4-13-9,,34.698875,135.545441,,,06-6931-6695,,,,蒲生学園,,,,,,,,,,
270008,,大阪府,大阪市,三愛幼稚園,サンアイヨウチエン,,大阪府大阪市鶴見区今津中4-3-13,,34.691956,135.578079,,,06-6968-1981,,,,三愛学園,,,,,,,,,,
270008,,大阪府,大阪市,鶴見幼稚園,ツルミヨウチエン,,大阪府大阪市鶴見区鶴見4-9-17,,34.703529,135.561935,,,06-6931-3368,,,,大阪鶴見学院,,,,,,,,,,
270008,,大阪府,大阪市,鶴見菊水幼稚園,ツルミキクスイヨウチエン,,大阪府大阪市鶴見区鶴見2-5-15,,34.700069,135.562225,,,06-6912-0360,,,,鶴見学園,,,,,,,,,,
270008,,大阪府,大阪市,あべの翔学高等学校附属朝陽幼稚園,アベノショウガクコウトウガツコウフゾクチヨウヨウヨウチエン,,大阪府大阪市阿倍野区天王寺町南2-26-32,,34.641979,135.52504,,,06-6719-2710,,,,朝陽学院,,,,,,,,,,
270008,,大阪府,大阪市,赤橋幼稚園,アカハシヨウチエン,,大阪府大阪市阿倍野区相生通2-6-2,,34.63097,135.502853,,,06-6661-7418,,,,藤田学園,,,,,,,,,,
270008,,大阪府,大阪市,朝陽幼稚園,チヨウヨウヨウチエン,,大阪府大阪市阿倍野区橋本町6-16,,34.63274,135.503662,,,06-6661-2996,,,,朝陽学院,,,,,,,,,,
270008,,大阪府,大阪市,長池昭和幼稚園,ナガイケシヨウワヨウチエン,,大阪府大阪市阿倍野区桃ヶ池町1-11-29,,34.629807,135.518982,,,06-6621-0773,,,,臼井学園,,,,,,,,,,
270008,,大阪府,大阪市,阿部野学園幼稚園,アベノガクエンヨウチエン,,大阪府大阪市阿倍野区北畠3-7-5,,34.628082,135.500015,,,06-6651-8649,,,,阿部野学園,,,,,,,,,,
270008,,大阪府,大阪市,鶴ヶ丘幼稚園,ツルガオカヨウチエン,,大阪府大阪市阿倍野区西田辺町2-2-10,,34.618134,135.516251,,,06-6691-1067,,,,伏井学園,,,,,,,,,,
270008,,大阪府,大阪市,加賀幼稚園,カガヨウチエン,,大阪府大阪市住之江区中加賀屋4-4-81,,34.614029,135.477539,,,06-6681-2169,,,,住吉清水学園,,,,,,,,,,
270008,,大阪府,大阪市,中かがや幼稚園,ナカカガヤヨウチエン,,大阪府大阪市住之江区中加賀屋2-18-5,,34.617256,135.479172,,,06-6685-5525,,,,坂越学園,,,,,,,,,,
270008,,大阪府,大阪市,大和幼稚園,ヤマトヨウチエン,,大阪府大阪市住之江区北島3-3-11,,34.601307,135.478104,,,06-6681-1717,,,,杉田学園,,,,,,,,,,
270008,,大阪府,大阪市,帝塚山学院幼稚園,テヅカヤマガクインヨウチエン,,大阪府大阪市住吉区帝塚山中3-9-2,,34.619968,135.50029,,,06-6672-1151,,,,帝塚山学院,,,,,,,,,,
270008,,大阪府,大阪市,清水幼稚園,シミズヨウチエン,,大阪府大阪市住吉区清水丘1-24-10,,34.603287,135.491364,,,06-6673-4567,,,,住吉清水学園,,,,,,,,,,
270008,,大阪府,大阪市,あびこ幼稚園,アビコヨウチエン,,大阪府大阪市住吉区南住吉4-1-25,,34.603313,135.504364,,,06-6691-0029,,,,あびこ学園,,,,,,,,,,
270008,,大阪府,大阪市,遠里小野幼稚園,オリオノヨウチエン,,大阪府大阪市住吉区遠里小野1-2-25,,34.600697,135.499039,,,06-6691-3663,,,,住吉清水学園,,,,,,,,,,
270008,,大阪府,大阪市,ひまわり幼稚園,ヒマワリヨウチエン,,大阪府大阪市住吉区苅田5-17-25,,34.601368,135.514633,,,06-6697-4701,,,,西村学園,,,,,,,,,,
270008,,大阪府,大阪市,長居幼稚園,ナガイヨウチエン,,大阪府大阪市住吉区長居東3-8-32,,34.607792,135.517014,,,06-6691-0190,,,,長居幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,よさみ幼稚園,ヨサミヨウチエン,,大阪府大阪市住吉区我孫子2-10-5,,34.603474,135.508774,,,06-6691-3601,,,,廣瀬学園,,,,,,,,,,
270008,,大阪府,大阪市,城南学園幼稚園,ジヨウナンガクエンヨウチエン,,大阪府大阪市東住吉区湯里6-4-26,,34.610542,135.538681,,,06-6702-5200,,,,城南学園,,,,,,,,,,
270008,,大阪府,大阪市,大阪芸術大学附属照ヶ丘幼稚園,オオサカゲイジユツダイガクフゾク　テルガオカヨウチエン,,大阪府大阪市東住吉区矢田2-18-16,,34.608398,135.532944,,,06-6697-1437,,,,塚本学院,,,,,,,,,,
270008,,大阪府,大阪市,中野幼稚園,ナカノヨウチエン,,大阪府大阪市東住吉区湯里1-13-6,,34.616283,135.53479,,,06-6702-0032,,,,大阪慈光学園,,,,,,,,,,
270008,,大阪府,大阪市,二葉幼稚園,フタバヨウチエン,,大阪府大阪市東住吉区北田辺6-14-26,,34.62957,135.526443,,,06-6622-1571,,,,二葉学園,,,,,,,,,,
270008,,大阪府,大阪市,喜連東幼稚園,キレヒガシヨウチエン,,大阪府大阪市平野区喜連東5-1-63,,34.611099,135.562103,,,06-6709-1587,,,,喜連学園,,,,,,,,,,
270008,,大阪府,大阪市,太成学院天満幼稚園,タイセイガクインテンマヨウチエン,,大阪府大阪市北区与力町4-16,,34.701542,135.513535,,,06-6353-9580,,,,天満学園,,,,,,,,,,
270008,,大阪府,大阪市,大淀幼稚園,オオヨドヨウチエン,,大阪府大阪市北区長柄西2-5-22,,34.716553,135.513168,,,06-6354-1972,,,,わかば学園,,,,,,,,,,
270008,,大阪府,大阪市,中津相愛幼稚園,ナカツソウアイヨウチエン,,大阪府大阪市北区中津3-6-15,,34.710964,135.494293,,,06-6371-0412,,,,永照寺学園,,,,,,,,,,
270008,,大阪府,大阪市,城星学園幼稚園,ジヨウセイガクエンヨウチエン,,大阪府大阪市中央区玉造2-23-26,,34.677853,135.528259,,,06-6941-5977,,,,城星学園,,,,,,,,,,
270008,,大阪府,大阪市,中央なにわ幼稚園,チユウオウナニワヨウチエン,,大阪府大阪市中央区粉川町7-6,,34.678158,135.512665,,,06-6761-3377,,,,中央なにわ幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,愛輝幼稚園,アイキヨウチエン,,大阪府大阪市福島区福島7-19-16,,34.700066,135.485229,,,06-6451-0320,,,,大阪福島キリスト教学園,,,,,,,,,,
270008,,大阪府,大阪市,梅香幼稚園,バイカヨウチエン,,大阪府大阪市此花区梅香3-3-6,,34.680996,135.455627,,,06-6461-1339,,,,山上　啓治,,,,,,,,,,
270008,,大阪府,大阪市,福音幼稚園,フクインヨウチエン,,大阪府大阪市西区九条南2-13-8,,34.672192,135.473602,,,06-6584-2469,,,,大阪九条キリスト教学園,,,,,,,,,,
270008,,大阪府,大阪市,南恩加島幼稚園,ミナミオカジマヨウチエン,,大阪府大阪市大正区平尾5-7-7,,34.638828,135.470856,,,06-6551-2408,,,,大阪武田学園,,,,,,,,,,
270008,,大阪府,大阪市,真生幼稚園,シンセイヨウチエン,,大阪府大阪市天王寺区真法院町15-15,,34.656734,135.520782,,,06-6771-0153,,,,日本福音ル－テル教会,,,,,,,,,,
270008,,大阪府,大阪市,佃幼稚園,ツクダヨウチエン,,大阪府大阪市西淀川区佃2-8-2,,34.713478,135.446243,,,06-6471-3579,,,,田蓑学園,,,,,,,,,,
270008,,大阪府,大阪市,博愛社学園幼稚園,ハクアイシヤガクエンヨウチエン,,大阪府大阪市淀川区十三元今里3-1-72,,34.721638,135.475861,,,06-6302-2095,,,,博愛社学園,,,,,,,,,,
270008,,大阪府,大阪市,放出幼稚園,ハナテンヨウチエン,,大阪府大阪市城東区放出西3-5-16,,34.689892,135.556503,,,06-6961-4110,,,,正因寺,,,,,,,,,,
270008,,大阪府,大阪市,全愛幼稚園,ゼンアイヨウチエン,,大阪府大阪市城東区鴫野西3-6-2,,34.693981,135.539429,,,06-6961-1627,,,,全愛学園,,,,,,,,,,
270008,,大阪府,大阪市,諸口幼稚園,モログチヨウチエン,,大阪府大阪市鶴見区諸口3-3-66,,34.701611,135.577225,,,06-6911-3198,,,,安井学園,,,,,,,,,,
270008,,大阪府,大阪市,南大阪幼稚園,ミナミオオサカヨウチエン,,大阪府大阪市阿倍野区阪南町1-30-5,,34.635471,135.515823,,,06-6622-2013,,,,日本基督教団南大阪教会,,,,,,,,,,
270008,,大阪府,大阪市,松虫幼稚園,マツムシヨウチエン,,大阪府大阪市阿倍野区王子町2-5-13,,34.632927,135.510056,,,06-6621-9115,,,,前島学園,,,,,,,,,,
270008,,大阪府,大阪市,南港幼稚園,ナンコウヨウチエン,,大阪府大阪市住之江区南港中2-5-55,,34.628914,135.429169,,,06-6613-0900,,,,坂越学園,,,,,,,,,,
270008,,大阪府,大阪市,アスール幼稚園,アス－ルヨウチエン,,大阪府大阪市住之江区南港中3-7-1,,34.627644,135.426208,,,06-6614-0700,,,,秋都学院,,,,,,,,,,
270008,,大阪府,大阪市,第二すみれ幼稚園,ダイニスミレヨウチエン,,大阪府大阪市東住吉区杭全2-11-23,,34.636978,135.536835,,,06-6713-0431,,,,すみれ学園,,,,,,,,,,
270008,,大阪府,大阪市,平和幼稚園,ヘイワヨウチエン,,大阪府大阪市東住吉区田辺4-13-9,,34.622894,135.526382,,,06-6621-8838,,,,たつみ東学園,,,,,,,,,,
270008,,大阪府,大阪市,田辺幼稚園,タナベヨウチエン,,大阪府大阪市東住吉区山坂1-19-24,,34.626259,135.521622,,,06-6622-1788,,,,河智学園,,,,,,,,,,
270008,,大阪府,大阪市,岸の里幼稚園,キシノサトヨウチエン,,大阪府大阪市西成区千本南1-10-26,,34.631588,135.4897,,,06-6661-7396,,,,浜田　久美子,,,,,,,,,,
270008,,大阪府,大阪市,扇町同胞幼稚園,オオギマチドウホウヨウチエン,,大阪府大阪市北区神山町9-19,,34.703835,135.505112,,,06-6361-1235,,,,扇町同胞学園,,,,,,,,,,
